"timestamp","sys_time","abs_timestamp","raw_x_lin_acc","raw_y_lin_acc","raw_z_lin_acc"
"1151.0","1529263881825","256609870336882","-0.1915009","-0.06179881","-0.005572319"
"1156.0","1529263881830","256609875280730","-0.105293915","-0.0668093","-0.010137558"
"1161.0","1529263881834","256609880194060","-0.05477504","-0.045911074","-0.0524168"
"1166.0","1529263881840","256609885137907","-0.0561711","-0.08181894","0.004798889"
"1171.0","1529263881845","256609890081755","-0.09972851","-0.07241857","-0.051789284"
"1176.0","1529263881851","256609895422331","-0.12358132","-0.09116852","-0.022958755"
"1181.0","1529263881855","256609899969450","-0.13043502","-0.07861924","-0.03928089"
"1186.0","1529263881860","256609904913298","-0.08460973","-0.07991874","-0.08620834"
"1191.0","1529263881865","256609909857146","-0.06458263","-0.06895864","-0.083231926"
"1196.0","1529263881870","256609914800993","-0.04899887","-0.07647586","-0.12519646"
"1200.0","1529263881874","256609919744841","-0.03578692","-0.071758986","-0.133811"
"1206.0","1529263881879","256609925054899","-0.09115124","-0.0832504","-0.11643505"
"1210.0","1529263881884","256609929693571","-0.09743801","-0.08305502","-0.110985756"
"1215.0","1529263881889","256609934576384","-0.07355055","-0.099389076","-0.032406807"
"1220.0","1529263881894","256609939520232","-0.08584314","-0.11577189","0.10219383"
"1225.0","1529263881899","256609944464079","-0.065427676","-0.10623407","0.11766815"
"1230.0","1529263881904","256609949407927","-0.050188355","-0.08990228","0.03153515"
"1235.0","1529263881910","256609954717985","-0.0919121","-0.109300256","0.05945015"
"1240.0","1529263881914","256609959295622","-0.05560179","-0.09118497","0.03761673"
"1245.0","1529263881919","256609964239470","-0.107224084","-0.11135256","0.09391117"
"1250.0","1529263881923","256609969183317","-0.12821677","-0.06808698","0.02232647"
"1255.0","1529263881929","256609974127165","-0.14714214","-0.11301947","0.08123207"
"1260.0","1529263881934","256609979071013","-0.19473827","-0.13924348","-0.008995056"
"1265.0","1529263881939","256609984381071","-0.18363264","-0.17289972","-0.013420105"
"1270.0","1529263881944","256609988958708","-0.16072726","-0.15193617","0.045920372"
